lap_n,stint_n,compounds,pit_laps,team,rain,driver_name,grid_pos,pit_count,final
63.0,3.0,"['WET', 'HARD', 'MEDIUM']","[1.0, 20.0, 30.0]",Alfa Romeo,0,ZHO,20,3,16.0
63.0,5.0,"['WET', 'INTERMEDIATE', 'HARD', 'MEDIUM', 'SOFT']","[1.0, 7.0, 22.0, 30.0, 57.0]",AlphaTauri,0,TSU,11,5,17.0
49.0,4.0,"['WET', 'HARD', 'MEDIUM']","[1.0, 19.0, 23.0]",Williams,0,ALB,16,3,18.0
25.0,3.0,"['WET', 'INTERMEDIATE', 'HARD']","[1.0, 5.0, 18.0]",Haas F1 Team,0,MSC,15,3,nan
20.0,1.0,['WET'],[1.0],Haas F1 Team,0,MAG,13,1,10.0
51.0,3.0,"['MEDIUM', 'HARD']","[1.0, 19.0]",Red Bull Racing,0,VER,3,2,1.0
51.0,3.0,"['MEDIUM', 'HARD']","[1.0, 17.0]",Red Bull Racing,0,PER,2,2,2.0
51.0,3.0,"['MEDIUM', 'HARD']","[1.0, 10.0]",Mercedes,0,RUS,5,2,3.0
51.0,3.0,"['MEDIUM', 'HARD']","[1.0, 10.0]",Mercedes,0,HAM,7,2,4.0
51.0,2.0,"['MEDIUM', 'HARD']","[1.0, 10.0]",AlphaTauri,0,GAS,6,2,5.0
51.0,2.0,"['MEDIUM', 'HARD']","[1.0, 10.0]",Aston Martin,0,VET,9,2,6.0
51.0,2.0,"['MEDIUM', 'HARD']","[1.0, 19.0]",Alpine,0,ALO,10,2,7.0
51.0,2.0,"['HARD', 'MEDIUM']","[1.0, 34.0]",McLaren,0,RIC,12,2,8.0
51.0,2.0,"['MEDIUM', 'HARD']","[1.0, 21.0]",McLaren,0,NOR,11,2,9.0
51.0,2.0,"['HARD', 'MEDIUM']","[1.0, 34.0]",Alpine,0,OCO,13,2,10.0
50.0,2.0,"['HARD', 'MEDIUM']","[1.0, 34.0]",Alfa Romeo,0,BOT,15,2,11.0
50.0,3.0,"['MEDIUM', 'HARD']","[1.0, 10.0]",Williams,0,ALB,17,2,12.0
50.0,3.0,"['MEDIUM', 'HARD', 'SOFT']","[1.0, 10.0, 39.0]",AlphaTauri,0,TSU,8,3,13.0
50.0,3.0,"['HARD', 'MEDIUM', 'HARD']","[1.0, 10.0, 24.0]",Haas F1 Team,0,MSC,20,3,14.0
50.0,3.0,"['MEDIUM', 'HARD']","[1.0, 18.0]",Williams,0,LAT,18,2,15.0
46.0,2.0,"['HARD', 'MEDIUM']","[1.0, 31.0]",Aston Martin,0,STR,19,2,15.0
32.0,2.0,"['MEDIUM', 'HARD']","[1.0, 10.0]",Haas F1 Team,0,MAG,16,2,nan
23.0,2.0,"['MEDIUM', 'HARD']","[1.0, 10.0]",Alfa Romeo,0,ZHO,14,2,16.0
21.0,2.0,"['MEDIUM', 'HARD']","[1.0, 10.0]",Ferrari,0,LEC,1,2,17.0
9.0,1.0,['MEDIUM'],[1.0],Ferrari,0,SAI,4,1,nan
70.0,3.0,"['MEDIUM', 'HARD']","[1.0, 10.0]",Red Bull Racing,0,VER,1,2,1.0
70.0,3.0,"['MEDIUM', 'HARD']","[1.0, 21.0]",Ferrari,0,SAI,3,2,2.0
70.0,3.0,"['MEDIUM', 'HARD']","[1.0, 10.0]",Mercedes,0,HAM,4,2,3.0
70.0,3.0,"['MEDIUM', 'HARD']","[1.0, 20.0]",Mercedes,0,RUS,8,2,4.0
70.0,2.0,"['HARD', 'MEDIUM']","[1.0, 42.0]",Ferrari,0,LEC,19,2,5.0
70.0,3.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 20.0, 50.0]",Alpine,0,OCO,7,3,6.0
70.0,2.0,"['HARD', 'MEDIUM']","[1.0, 50.0]",Alfa Romeo,0,BOT,11,2,8.0
70.0,3.0,"['MEDIUM', 'HARD']","[1.0, 20.0]",Alfa Romeo,0,ZHO,10,2,9.0
70.0,3.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 29.0, 50.0]",Alpine,0,ALO,2,3,7.0
70.0,2.0,"['HARD', 'MEDIUM']","[1.0, 48.0]",Aston Martin,0,STR,17,2,10.0
70.0,3.0,"['MEDIUM', 'HARD']","[1.0, 20.0]",McLaren,0,RIC,9,2,11.0
70.0,3.0,"['MEDIUM', 'HARD']","[1.0, 6.0]",Aston Martin,0,VET,16,2,12.0
70.0,3.0,"['MEDIUM', 'HARD']","[1.0, 19.0]",Williams,0,ALB,12,2,13.0
70.0,3.0,"['MEDIUM', 'HARD']","[1.0, 6.0]",AlphaTauri,0,GAS,15,2,14.0
70.0,3.0,"['HARD', 'MEDIUM']","[1.0, 43.0]",McLaren,0,NOR,14,2,15.0
70.0,3.0,"['MEDIUM', 'HARD']","[1.0, 10.0]",Williams,0,LAT,18,2,16.0
70.0,2.0,"['MEDIUM', 'HARD']","[1.0, 8.0]",Haas F1 Team,0,MAG,5,2,17.0
47.0,2.0,"['MEDIUM', 'HARD']","[1.0, 10.0]",AlphaTauri,0,TSU,20,2,15.0
19.0,1.0,['MEDIUM'],[1.0],Haas F1 Team,0,MSC,6,1,nan
8.0,1.0,['HARD'],[1.0],Red Bull Racing,0,PER,13,1,nan
52.0,4.0,"['MEDIUM', 'HARD', 'SOFT']","[1.0, 21.0, 40.0]",Ferrari,0,SAI,1,3,1.0
52.0,4.0,"['MEDIUM', 'SOFT']","[1.0, 40.0]",Red Bull Racing,0,PER,4,2,2.0
52.0,4.0,"['MEDIUM', 'HARD', 'SOFT']","[1.0, 34.0, 40.0]",Mercedes,0,HAM,5,3,3.0
52.0,3.0,"['MEDIUM', 'HARD']","[1.0, 26.0]",Ferrari,0,LEC,3,2,4.0
52.0,4.0,"['MEDIUM', 'HARD', 'SOFT']","[1.0, 34.0, 40.0]",Alpine,0,ALO,7,3,5.0
52.0,4.0,"['MEDIUM', 'HARD', 'SOFT']","[1.0, 35.0, 41.0]",McLaren,0,NOR,6,3,6.0
52.0,5.0,"['SOFT', 'MEDIUM', 'HARD', 'SOFT']","[1.0, 2.0, 24.0, 40.0]",Red Bull Racing,0,VER,2,4,7.0
52.0,4.0,"['MEDIUM', 'HARD', 'SOFT']","[1.0, 20.0, 40.0]",Haas F1 Team,0,MSC,19,3,8.0
52.0,4.0,"['SOFT', 'MEDIUM']","[1.0, 7.0]",Aston Martin,0,VET,18,2,9.0
52.0,3.0,"['SOFT', 'MEDIUM']","[1.0, 2.0]",Haas F1 Team,0,MAG,17,2,10.0
52.0,4.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 16.0, 41.0]",Aston Martin,0,STR,20,3,11.0
52.0,4.0,"['SOFT', 'MEDIUM', 'SOFT']","[1.0, 20.0, 40.0]",Williams,0,LAT,10,3,12.0
52.0,5.0,"['MEDIUM', 'HARD', 'SOFT']","[1.0, 21.0, 33.0]",McLaren,0,RIC,14,3,13.0
52.0,4.0,"['MEDIUM', 'SOFT', 'HARD', 'SOFT']","[1.0, 2.0, 19.0, 39.0]",AlphaTauri,0,TSU,13,4,14.0
38.0,3.0,"['MEDIUM', 'SOFT', 'HARD']","[1.0, 2.0, 23.0]",Alpine,0,OCO,15,3,nan
26.0,3.0,"['MEDIUM', 'SOFT', 'HARD']","[1.0, 2.0, 17.0]",AlphaTauri,0,GAS,11,3,14.0
20.0,2.0,['MEDIUM'],[1.0],Alfa Romeo,0,BOT,12,1,11.0
1.0,1.0,['HARD'],[1.0],Mercedes,0,RUS,8,1,nan
1.0,1.0,['MEDIUM'],[1.0],Alfa Romeo,0,ZHO,9,1,nan
1.0,1.0,['SOFT'],[1.0],Williams,0,ALB,16,1,nan
71.0,4.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 27.0, 59.0]",Ferrari,0,LEC,2,3,1.0
71.0,4.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 14.0, 59.0]",Red Bull Racing,0,VER,1,3,2.0
71.0,3.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 29.0, 52.0]",Mercedes,0,HAM,8,3,3.0
71.0,3.0,"['MEDIUM', 'HARD', 'None']","[1.0, 12.0, 41.0]",Mercedes,0,RUS,4,3,4.0
71.0,3.0,"['MEDIUM', 'HARD', 'None']","[1.0, 17.0, 45.0]",Alpine,0,OCO,6,3,5.0
70.0,3.0,"['MEDIUM', 'HARD', 'None']","[1.0, 17.0, 44.0]",Haas F1 Team,0,MSC,9,3,6.0
70.0,3.0,"['MEDIUM', 'HARD', 'None']","[1.0, 15.0, 44.0]",McLaren,0,NOR,10,3,7.0
70.0,3.0,"['MEDIUM', 'HARD', 'None']","[1.0, 16.0, 42.0]",Haas F1 Team,0,MAG,7,3,8.0
70.0,3.0,"['MEDIUM', 'HARD', 'None']","[1.0, 13.0, 45.0]",McLaren,0,RIC,11,3,9.0
70.0,4.0,"['HARD', 'MEDIUM']","[1.0, 58.0]",Alpine,0,ALO,19,2,10.0
70.0,3.0,"['MEDIUM', 'HARD', 'None']","[1.0, 7.0, 41.0]",Alfa Romeo,0,BOT,0,3,11.0
70.0,3.0,"['MEDIUM', 'HARD', 'None']","[1.0, 12.0, 43.0]",Williams,0,ALB,15,3,12.0
70.0,3.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 30.0, 49.0]",Aston Martin,0,STR,12,3,13.0
70.0,3.0,"['HARD', 'MEDIUM']","[1.0, 47.0]",Alfa Romeo,0,ZHO,13,2,14.0
70.0,3.0,"['MEDIUM', 'HARD', 'None']","[1.0, 13.0, 41.0]",AlphaTauri,0,GAS,14,3,15.0
70.0,3.0,"['HARD', 'MEDIUM', 'HARD']","[1.0, 27.0, 47.0]",AlphaTauri,0,TSU,16,3,17.0
70.0,3.0,"['HARD', 'MEDIUM', 'None']","[1.0, 21.0, 46.0]",Aston Martin,0,VET,18,3,16.0
57.0,3.0,"['MEDIUM', 'HARD', 'None']","[1.0, 28.0, 52.0]",Ferrari,0,SAI,3,3,nan
48.0,3.0,"['MEDIUM', 'HARD', 'None']","[1.0, 13.0, 36.0]",Williams,0,LAT,17,3,19.0
24.0,2.0,"['MEDIUM', 'HARD']","[1.0, 2.0]",Red Bull Racing,0,PER,5,2,20.0
53.0,2.0,"['MEDIUM', 'HARD']","[1.0, 17.0]",Red Bull Racing,0,VER,2,2,1.0
53.0,2.0,"['MEDIUM', 'HARD']","[1.0, 19.0]",Mercedes,0,HAM,4,2,2.0
53.0,2.0,"['MEDIUM', 'HARD']","[1.0, 19.0]",Mercedes,0,RUS,6,2,3.0
53.0,2.0,"['MEDIUM', 'HARD']","[1.0, 19.0]",Red Bull Racing,0,PER,3,2,4.0
53.0,3.0,"['HARD', 'MEDIUM']","[1.0, 19.0]",Ferrari,0,SAI,19,2,5.0
53.0,2.0,"['MEDIUM', 'HARD']","[1.0, 19.0]",Alpine,0,ALO,7,2,6.0
53.0,2.0,"['MEDIUM', 'HARD']","[1.0, 19.0]",McLaren,0,NOR,5,2,7.0
53.0,2.0,"['MEDIUM', 'HARD']","[1.0, 19.0]",Alpine,0,OCO,10,2,8.0
53.0,2.0,"['MEDIUM', 'HARD']","[1.0, 19.0]",McLaren,0,RIC,9,2,9.0
53.0,2.0,"['MEDIUM', 'HARD']","[1.0, 19.0]",Aston Martin,0,STR,15,2,10.0
53.0,2.0,"['MEDIUM', 'HARD']","[1.0, 20.0]",Aston Martin,0,VET,12,2,11.0
53.0,2.0,"['HARD', 'MEDIUM']","[1.0, 19.0]",AlphaTauri,0,GAS,14,2,12.0
