lap_n,stint_n,compounds,pit_laps,team,rain,driver_name,grid_pos
70.0,4.0,"['INTERMEDIATE', 'MEDIUM', 'HARD']","[1.0, 4.0, 37.0]",Aston Martin,0,VET,10
3.0,1.0,['UNKNOWN'],[1.0],Red Bull Racing,1,VER,1
3.0,1.0,['UNKNOWN'],[1.0],Williams,1,RUS,2
3.0,1.0,['UNKNOWN'],[1.0],Mercedes,1,HAM,3
3.0,1.0,['UNKNOWN'],[1.0],McLaren,1,RIC,4
3.0,1.0,['UNKNOWN'],[1.0],Aston Martin,1,VET,5
3.0,1.0,['UNKNOWN'],[1.0],AlphaTauri,1,GAS,6
3.0,1.0,['UNKNOWN'],[1.0],Alpine,1,OCO,8
3.0,1.0,['UNKNOWN'],[1.0],Ferrari,1,LEC,9
3.0,1.0,['UNKNOWN'],[1.0],Williams,1,LAT,10
3.0,1.0,['UNKNOWN'],[1.0],Ferrari,1,SAI,11
3.0,1.0,['UNKNOWN'],[1.0],Alpine,1,ALO,12
3.0,1.0,['UNKNOWN'],[1.0],Mercedes,1,BOT,13
3.0,1.0,['UNKNOWN'],[1.0],Alfa Romeo Racing,1,GIO,14
3.0,1.0,['UNKNOWN'],[1.0],McLaren,1,NOR,15
3.0,1.0,['UNKNOWN'],[1.0],AlphaTauri,1,TSU,16
3.0,1.0,['UNKNOWN'],[1.0],Haas F1 Team,1,MSC,17
3.0,1.0,['UNKNOWN'],[1.0],Haas F1 Team,1,MAZ,18
3.0,1.0,['UNKNOWN'],[1.0],Alfa Romeo Racing,1,RAI,0
3.0,1.0,['UNKNOWN'],[1.0],Red Bull Racing,1,PER,0
3.0,1.0,['UNKNOWN'],[1.0],Aston Martin,1,STR,19
72.0,3.0,"['SOFT', 'MEDIUM', 'HARD']","[1.0, 22.0, 41.0]",Red Bull Racing,0,VER,1
72.0,4.0,"['SOFT', 'MEDIUM', 'SOFT']","[1.0, 21.0, 71.0]",Mercedes,0,HAM,2
72.0,3.0,"['SOFT', 'MEDIUM', 'SOFT']","[1.0, 32.0, 68.0]",Mercedes,0,BOT,3
71.0,2.0,"['SOFT', 'MEDIUM']","[1.0, 25.0]",AlphaTauri,0,GAS,4
71.0,2.0,"['SOFT', 'HARD']","[1.0, 35.0]",Ferrari,0,LEC,5
71.0,2.0,"['SOFT', 'MEDIUM']","[1.0, 34.0]",Alpine,0,ALO,9
71.0,2.0,"['SOFT', 'HARD']","[1.0, 32.0]",Ferrari,0,SAI,6
71.0,3.0,"['HARD', 'MEDIUM', 'SOFT']","[1.0, 9.0, 48.0]",Red Bull Racing,0,PER,0
71.0,2.0,"['SOFT', 'MEDIUM']","[1.0, 32.0]",Alpine,0,OCO,8
71.0,2.0,"['MEDIUM', 'HARD']","[1.0, 43.0]",McLaren,0,NOR,13
71.0,2.0,"['SOFT', 'HARD']","[1.0, 31.0]",McLaren,0,RIC,10
70.0,2.0,"['SOFT', 'HARD']","[1.0, 28.0]",Aston Martin,0,STR,12
70.0,3.0,"['SOFT', 'HARD', 'MEDIUM']","[1.0, 11.0, 45.0]",Aston Martin,0,VET,15
70.0,3.0,"['SOFT', 'MEDIUM', 'HARD']","[1.0, 28.0, 34.0]",Alfa Romeo Racing,0,GIO,7
70.0,2.0,"['MEDIUM', 'HARD']","[1.0, 41.0]",Alfa Romeo Racing,0,KUB,16
70.0,2.0,"['MEDIUM', 'HARD']","[1.0, 24.0]",Williams,0,LAT,0
69.0,3.0,"['MEDIUM', 'HARD', 'SOFT']","[1.0, 28.0, 69.0]",Williams,0,RUS,11
69.0,3.0,"['SOFT', 'HARD', 'MEDIUM']","[1.0, 5.0, 31.0]",Haas F1 Team,0,MSC,17
48.0,2.0,"['SOFT', 'MEDIUM']","[1.0, 32.0]",AlphaTauri,0,TSU,14
41.0,2.0,"['MEDIUM', 'HARD']","[1.0, 34.0]",Haas F1 Team,0,MAZ,18
53.0,2.0,"['MEDIUM', 'HARD']","[1.0, 23.0]",McLaren,0,RIC,2
53.0,2.0,"['MEDIUM', 'HARD']","[1.0, 25.0]",McLaren,0,NOR,3
53.0,2.0,"['HARD', 'MEDIUM']","[1.0, 27.0]",Mercedes,0,BOT,19
53.0,2.0,"['MEDIUM', 'HARD']","[1.0, 27.0]",Ferrari,0,LEC,5
53.0,2.0,"['MEDIUM', 'HARD']","[1.0, 27.0]",Red Bull Racing,0,PER,8
53.0,2.0,"['MEDIUM', 'HARD']","[1.0, 27.0]",Ferrari,0,SAI,6
53.0,2.0,"['MEDIUM', 'HARD']","[1.0, 26.0]",Aston Martin,0,STR,9
53.0,2.0,"['MEDIUM', 'HARD']","[1.0, 26.0]",Alpine,0,ALO,10
53.0,2.0,"['MEDIUM', 'HARD']","[1.0, 27.0]",Williams,0,RUS,14
53.0,2.0,"['MEDIUM', 'HARD']","[1.0, 27.0]",Alpine,0,OCO,12
53.0,2.0,"['MEDIUM', 'HARD']","[1.0, 24.0]",Williams,0,LAT,13
53.0,3.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 23.0, 27.0]",Aston Martin,0,VET,11
53.0,3.0,"['MEDIUM', 'HARD', 'MEDIUM']","[1.0, 2.0, 26.0]",Alfa Romeo Racing,0,GIO,7
53.0,2.0,"['HARD', 'MEDIUM']","[1.0, 27.0]",Alfa Romeo Racing,0,KUB,17
53.0,2.0,"['MEDIUM', 'HARD']","[1.0, 24.0]",Haas F1 Team,0,MSC,18
42.0,4.0,"['MEDIUM', 'SOFT', 'HARD', 'SOFT']","[1.0, 25.0, 29.0, 40.0]",Haas F1 Team,0,MAZ,16
25.0,1.0,['HARD'],[1.0],Mercedes,0,HAM,4
26.0,2.0,"['MEDIUM', 'HARD']","[1.0, 24.0]",Red Bull Racing,0,VER,1
3.0,1.0,['HARD'],[1.0],AlphaTauri,0,GAS,0
1.0,1.0,['MEDIUM'],[1.0],AlphaTauri,0,TSU,0
